,head,variable,value,prob
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi468,0.01
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi1403,0.04
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi631,0.05
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi993,0.02
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi386,0.02
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi27,0.02
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi171,0.02
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi1143,0.04
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi1434,0.06
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi512,0.03
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi458,0.06
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi43,0.01
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi980,0.02
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi1434,0.21
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi403,0.06
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi679,0.14
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi436,0.03
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi832,0.05
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi743,0.02
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi434,0.03
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi873,0.03
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi939,0.12
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi1386,0.03
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi1206,0.01
89,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,concept_vocab_index,vi873,0.03
89,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,concept_vocab_index,vi679,0.14
89,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,concept_vocab_index,vi939,0.17
89,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,concept_vocab_index,vi905,0.11
89,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,concept_vocab_index,vi1124,0.05
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi905,0.04
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi909,0.04
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi800,0.03
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi1434,0.06
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi770,0.02
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi790,0.03
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi939,0.04
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi559,0.02
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi585,0.14
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi137,0.02
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi873,0.02
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi345,0.06
91,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,concept_vocab_index,vi585,0.68
91,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,concept_vocab_index,vi1434,0.14
91,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,concept_vocab_index,vi137,0.13
91,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,concept_vocab_index,vi47,0.06
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi905,0.05
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi131,0.02
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi484,0.15
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi770,0.06
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi988,0.01
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1422,0.03
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi832,0.06
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1206,0.01
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1341,0.02
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1338,0.07
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi134,0.03
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi873,0.06
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1403,0.16
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi743,0.04
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi78,0.03
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi559,0.07
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi809,0.03
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1434,0.02
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi585,0.09
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi171,0.05
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi345,0.02
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi411,0.06
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1260,0.03
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi773,0.05
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1124,0.02
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi939,0.02
93,Course1_W8-S1-L1_Introduction_1-41,concept_vocab_index,vi980,0.13
93,Course1_W8-S1-L1_Introduction_1-41,concept_vocab_index,vi905,0.07
93,Course1_W8-S1-L1_Introduction_1-41,concept_vocab_index,vi43,0.03
93,Course1_W8-S1-L1_Introduction_1-41,concept_vocab_index,vi1422,0.16
93,Course1_W8-S1-L1_Introduction_1-41,concept_vocab_index,vi625,0.2
93,Course1_W8-S1-L1_Introduction_1-41,concept_vocab_index,vi873,0.07
93,Course1_W8-S1-L1_Introduction_1-41,concept_vocab_index,vi826,0.08
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi1422,0.24
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi511,0.08
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi1206,0.13
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi1338,0.15
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi991,0.04
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi993,0.04
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi1341,0.16
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi873,0.09
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi917,0.21
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi1103,0.16
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi73,0.05
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi537,0.1
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi915,0.06
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi817,0.06
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi909,0.11
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi47,0.04
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi625,0.12
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi1445,0.15
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi1124,0.05
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi345,0.05
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi873,0.16
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1422,0.02
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1206,0.15
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1338,0.32
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi625,0.11
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi974,0.03
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi831,0.04
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi220,0.07
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1341,0.25
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi826,0.03
95,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1403,0.05
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1341,0.29
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1255,0.04
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi945,0.03
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1043,0.02
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1397,0.03
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi695,0.03
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1074,0.02
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi387,0.03
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi386,0.02
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi27,0.02
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1206,0.08
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi55,0.04
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi832,0.13
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1422,0.06
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi873,0.06
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1434,0.06
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi74,0.02
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi988,0.04
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi974,0.06
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1338,0.25
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi993,0.04
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi468,0.01
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi631,0.05
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1284,0.03
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi991,0.01
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi910,0.03
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1403,0.09
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi171,0.07
96,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi770,0.02
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi1434,0.17
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi1124,0.05
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi679,0.15
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi939,0.06
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi351,0.05
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi770,0.04
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi909,0.1
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi790,0.07
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi1141,0.06
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi832,0.2
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi1341,0.05
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi1206,0.02
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi988,0.04
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi1338,0.17
97,Course1_W8-S1-L5_Parameters_in_Log-linear_Models_3-59,concept_vocab_index,vi873,0.03
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi832,0.04
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi1338,0.39
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi873,0.1
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi770,0.02
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi1206,0.08
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi1445,0.17
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi625,0.18
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi1341,0.24
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi826,0.03
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi442,0.06
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi631,0.03
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi47,0.05
98,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi1403,0.02
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi625,0.09
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi831,0.06
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1103,0.06
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi434,0.02
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1338,0.21
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1403,0.04
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi873,0.11
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1422,0.11
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1341,0.12
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1206,0.05
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi171,0.02
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi631,0.05
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi743,0.09
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1062,0.02
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1124,0.02
99,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi837,0.08
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi873,0.09
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi1338,0.25
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi1341,0.11
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi1206,0.08
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi1445,0.15
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi826,0.07
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi625,0.06
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi832,0.12
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi55,0.07
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi1422,0.05
100,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi905,0.07
101,Course1_W8-S2-L1_Introduction_0-47,concept_vocab_index,vi1422,0.1
101,Course1_W8-S2-L1_Introduction_0-47,concept_vocab_index,vi559,0.15
101,Course1_W8-S2-L1_Introduction_0-47,concept_vocab_index,vi984,0.19
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi1422,0.1
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi1206,0.21
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi1338,0.18
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi220,0.08
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi1341,0.06
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi55,0.07
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi873,0.05
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi1445,0.04
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi47,0.06
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi559,0.07
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi832,0.03
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi982,0.08
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi984,0.02
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi74,0.03
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi442,0.06
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi159,0.04
102,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi371,0.04
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi1206,0.03
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi982,0.07
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi984,0.06
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi511,0.05
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi873,0.03
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi1422,0.13
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi991,0.04
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi993,0.01
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi988,0.04
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi1341,0.08
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi946,0.08
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi386,0.02
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi1003,0.02
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi14,0.02
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi1124,0.03
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi1338,0.06
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi943,0.06
103,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi233,0.09
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi988,0.05
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi1341,0.03
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi1206,0.03
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi233,0.06
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi982,0.14
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi73,0.01
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi293,0.31
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi946,0.08
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi1284,0.02
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi1422,0.02
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi944,0.02
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi943,0.01
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi1072,0.09
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi1057,0.02
104,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi1442,0.03
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi832,0.11
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi220,0.02
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi873,0.06
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi982,0.1
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1434,0.14
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi939,0.02
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1206,0.03
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi55,0.04
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi293,0.13
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi988,0.01
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1422,0.06
105,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi233,0.14
